행정코드,행정동명,상권업종소분류명,상권업종소분류코드,점포수,매출
2614053000,동대신3동,무도 유흥주점,I21102,,
2614053000,동대신3동,생맥주 전문,I21103,,
2614053000,동대신3동,요리주점,I21104,6,6740000
2614053000,동대신3동,카페,I21201,31,33460000
2614054000,서대신1동,백반/한정식,I20101,25,16590000
2614054000,서대신1동,국/탕/찌개류,I20102,6,12350000
2614054000,서대신1동,족발/보쌈,I20103,6,8160000
2614054000,서대신1동,전/부침개,I20104,,
2614054000,서대신1동,국수/칼국수,I20105,5,9540000
2614054000,서대신1동,냉면/밀면,I20106,3,31270000
2614054000,서대신1동,돼지고기 구이/찜,I20107,22,22450000
2614054000,서대신1동,소고기 구이/찜,I20108,,
2614054000,서대신1동,곱창 전골/구이,I20109,,
2614054000,서대신1동,닭/오리 고기 구이/찜,I20110,3,11610000
2614054000,서대신1동,횟집,I20111,9,16710000
2614054000,서대신1동,해산물 구이/찜,I20112,5,13180000
2614054000,서대신1동,복 요리 전문,I20113,,
2614054000,서대신1동,기타 한식 음식점,I20199,2,2740000
2614054000,서대신1동,중국집,I20201,8,11760000
2614054000,서대신1동,마라탕/훠궈,I20202,,
2614054000,서대신1동,일식 회/초밥,I20301,6,28330000
